question_text,code_snippet,correct_answer,wrong_answer1,wrong_answer2,wrong_answer3
Which of the following will correctly calculate 3 raised to the power of 4?,,3 ** 4,pow(3, 4),3 ^ 4,Math.pow(3, 4)
Which of the following will correctly round 5.3 up to the nearest whole number?,,math.ceil(5.3),math.round(5.3),int(5.3 + 0.5),math.floor(5.3)
Which of the following will correctly calculate the absolute value of -10?,,abs(-10),math.abs(-10),-10 * -1,Math.abs(-10)
Which of the following will correctly calculate the square root of 16?,,math.sqrt(16),sqrt(16),16 ** 0.5,Math.sqrt(16)
Which of the following will correctly return the smaller value between 8 and 15?,,min(8, 15),math.min(8, 15),Math.min(8, 15),smaller(8, 15)
Which of the following will correctly return the larger value between 8 and 15?,,max(8, 15),math.max(8, 15),Math.max(8, 15),larger(8, 15)
Which of the following will correctly calculate the modulus of 15 divided by 4?,,15 % 4,mod(15, 4),15 // 4,Math.mod(15, 4)
Which of these calculates the cube root of 27?,,27 ** (1/3),math.sqrt(27),27 ** 3,Math.cbrt(27)
Which function returns the largest integer less than or equal to 5.8?,,math.floor(5.8),math.ceil(5.8),round(5.8),int(5.8)
What is the result of int(3.7)?,,3,4,3.7,Error
